sample_name	birthplace	date_startcollection	cohort	mouse_line	site_line	host_age	host_age_units	group_study	representation	body_site	collection_method	line_site	origmouse_name	mouse_id	estrous_stage	Prog_high	Prog_transition	Prog_mix	Estrogen_hi	tp_days	treatment	swabGBS_CFU	VTGBS_CFU	CGBS_CFU	UGBS_CFU	VS_clearD1	VS_clearD3	VS_clearD7	Uterine_clearance	study_topic	vivarium	host_body_habitat	host_body_product	host_body_site	host_common_name	host_life_stage	host_scientific_name	CST	CST_categorical
GBS30d0	BCM	8/18/20	2020Aug	Conventional	BCM_Conventional	17.14285714	weeks	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		30a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl301	adult	Mus musculus	0	0
GBS32d0	BCM	8/18/20	2020Aug	Conventional	BCM_Conventional	7.142857143	weeks	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		32a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl300	adult	Mus musculus	0	0
GBS33d0	BCM	8/18/20	2020Aug	Conventional	BCM_Conventional	7.142857143	weeks	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		33a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl299	adult	Mus musculus	0	0
GBS34d0	BCM	8/18/20	2020Aug	Conventional	BCM_Conventional	7.142857143	weeks	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		34a						0	GBS									HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl298	adult	Mus musculus	0	0
GBS35d0	BCM	8/18/20	2020Aug	Conventional	BCM_Conventional	6.571428571	weeks	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		35a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl297	adult	Mus musculus	0	0
GBS36d0	BCM	8/18/20	2020Aug	Conventional	BCM_Conventional	6.571428571	weeks	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		36a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl296	adult	Mus musculus	0	0
GBS37d0	BCM	8/18/20	2020Aug	Conventional	BCM_Conventional	6.571428571	weeks	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		37a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl295	adult	Mus musculus	0	0
GBS01d3	BCM	8/18/20	2020Aug	HMB	BCM_HMB	25.71428571	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		01a						3	GBS	2160000					Colonized		Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl294	adult	Mus musculus	2	II
GBS02d3	BCM	8/18/20	2020Aug	HMB	BCM_HMB	25.71428571	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		02a						3	GBS	2100000					Colonized		Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl293	adult	Mus musculus	2	II
GBS03d3	BCM	8/18/20	2020Aug	HMB	BCM_HMB	25.71428571	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		03a						3	GBS	46200					Colonized		Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl292	adult	Mus musculus	2	II
GBS04d3	BCM	8/18/20	2020Aug	HMB	BCM_HMB	25.71428571	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		04a						3	GBS	1068000					Colonized		Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl291	adult	Mus musculus	3	III
GBS05d3	BCM	8/18/20	2020Aug	HMB	BCM_HMB	24.71428571	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		05a						3	GBS	726000	3561643.836	10211267.61	5346.835443		Colonized		Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl290	adult	Mus musculus	2	II
GBS06d3	BCM	8/18/20	2020Aug	HMB	BCM_HMB	24.71428571	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		06a						3	GBS	660000	24441340.78	64814814.81	328747.3997		Colonized		Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl289	adult	Mus musculus	4	IV
GBS07d3	BCM	8/18/20	2020Aug	HMB	BCM_HMB	24.71428571	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		07a						3	GBS	216000	14192139.74	38659793.81	3024535.902		Colonized		Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl288	adult	Mus musculus	4	IV
